1000 5 
567.56 229.34 0 
732.09 164.85 0 
377.41 656.01 4 
975.06 592.50 3 
949.21 802.98 3 
566.74 160.40 0 
194.16 589.59 4 
340.33 445.83 2 
499.94 744.09 1 
987.31 195.75 0 
911.61 723.41 3 
410.59 229.53 2 
536.03 762.08 1 
290.84 503.35 2 
260.95 878.19 4 
180.42 389.91 2 
228.41 914.83 4 
191.88 176.17 2 
854.18 745.03 3 
495.55 432.46 1 
332.83 218.22 2 
692.79 855.80 3 
920.18 676.58 3 
779.66 641.07 3 
732.42 418.78 0 
467.23 182.59 2 
453.77 340.47 2 
373.98 759.67 4 
792.63 428.09 0 
955.78 208.77 0 
276.86 635.41 4 
889.23 136.28 0 
729.07 320.20 0 
674.03 173.72 0 
312.37 769.53 4 
569.90 229.83 0 
387.33 491.45 2 
433.47 641.83 1 
670.56 401.58 0 
471.43 479.15 1 
835.75 482.61 0 
574.62 102.99 0 
147.76 544.44 4 
849.59 134.61 0 
670.35 163.75 0 
112.63 235.44 2 
237.88 530.90 2 
362.31 652.35 4 
532.49 581.52 1 
495.68 931.11 4 
256.07 942.48 4 
784.33 550.89 1 
538.97 868.74 4 
475.47 383.57 2 
675.10 800.26 3 
133.95 730.22 4 
524.52 216.79 2 
990.61 238.43 0 
274.19 718.49 4 
312.70 453.47 2 
397.00 410.57 2 
262.16 506.18 2 
600.42 320.50 0 
457.09 191.11 2 
604.84 825.34 3 
702.07 437.62 0 
642.41 717.37 1 
303.20 527.49 2 
917.19 286.77 0 
633.51 861.71 3 
616.73 348.74 0 
963.63 730.03 3 
216.49 393.29 2 
524.47 786.01 1 
466.76 386.50 2 
416.75 580.91 1 
903.65 400.51 0 
333.19 859.54 4 
273.95 800.81 4 
809.02 971.11 3 
815.37 768.84 3 
566.52 198.17 0 
781.67 588.38 1 
569.10 557.07 1 
554.49 973.06 3 
750.52 972.56 3 
431.55 363.84 2 
134.94 179.98 2 
132.41 574.57 4 
713.66 958.44 3 
612.31 112.96 0 
593.36 647.22 1 
224.29 856.32 4 
182.65 149.60 2 
221.07 208.85 2 
631.70 176.52 0 
836.46 719.92 3 
290.56 733.30 4 
237.22 290.32 2 
802.57 502.83 0 
986.60 345.44 0 
697.48 428.03 0 
308.69 503.05 2 
700.67 947.13 3 
296.30 913.81 4 
423.72 784.06 4 
850.80 603.00 3 
752.17 248.29 0 
696.27 391.26 0 
595.66 746.15 1 
757.61 522.46 1 
516.86 757.25 1 
143.62 676.99 4 
103.82 679.16 4 
625.66 598.60 1 
702.43 593.41 1 
852.26 912.68 3 
373.54 655.76 4 
690.53 564.41 1 
791.47 764.03 3 
535.18 354.73 2 
348.33 206.85 2 
675.34 902.30 3 
381.01 245.74 2 
859.87 909.31 3 
585.42 434.54 1 
652.33 259.99 0 
634.34 628.71 1 
715.53 329.15 0 
264.00 387.52 2 
216.60 629.23 4 
445.50 523.23 1 
393.40 373.90 2 
606.05 298.83 0 
472.42 486.62 1 
816.36 429.02 0 
479.29 231.81 2 
309.30 886.40 4 
732.12 197.18 0 
345.83 966.71 4 
858.60 404.93 0 
993.24 515.82 0 
727.31 780.46 3 
732.09 771.94 3 
733.90 856.16 3 
156.97 125.82 2 
232.80 538.92 4 
686.83 352.25 0 
555.10 619.04 1 
450.31 616.15 1 
603.00 348.99 0 
762.28 205.97 0 
461.93 670.04 1 
156.55 797.93 4 
120.46 514.69 2 
190.69 403.95 2 
639.06 163.39 0 
888.60 406.53 0 
257.60 883.51 4 
136.23 733.71 4 
883.65 428.28 0 
996.79 977.07 3 
350.22 624.92 4 
759.53 506.09 1 
